record_id,student_id,student_name,lecture_id,lecture_name,lecturer_id,lecturer_name,course_id,course_code,course_name,group_id,group_name,academic_week,timestamp,time,time_minute,emotion,confidence,engagement_score,focus_score,attendance_status,is_present,left_room,absence_duration_minutes,source_type,model_name
2921,S001,Linda Ahmed,L8add99619,CS301 — GRP_A_CS301 (Week 13),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,13,2026-02-09T08:12:54Z,08:12,10,Happy,0.8,0.95,0.7,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
2941,S001,Linda Ahmed,L8add99619,CS301 — GRP_A_CS301 (Week 13),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,13,2026-02-09T08:17:35Z,08:17,15,Bored,0.83,0.06,0.63,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
2961,S001,Linda Ahmed,L8add99619,CS301 — GRP_A_CS301 (Week 13),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,13,2026-02-09T08:21:08Z,08:21,20,Confused,0.86,0.44,0.61,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
2981,S001,Linda Ahmed,L8add99619,CS301 — GRP_A_CS301 (Week 13),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,13,2026-02-09T08:28:15Z,08:28,25,Happy,0.92,0.99,0.78,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
3001,S001,Linda Ahmed,L8add99619,CS301 — GRP_A_CS301 (Week 13),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,13,2026-02-09T08:31:13Z,08:31,30,Neutral,0.87,0.58,0.84,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
3021,S001,Linda Ahmed,L8add99619,CS301 — GRP_A_CS301 (Week 13),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,13,2026-02-09T08:36:16Z,08:36,35,Happy,0.78,1,0.61,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
3041,S001,Linda Ahmed,L8add99619,CS301 — GRP_A_CS301 (Week 13),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,13,2026-02-09T08:40:19Z,08:40,40,Neutral,0.8,0.63,0.89,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
3061,S001,Linda Ahmed,L8add99619,CS301 — GRP_A_CS301 (Week 13),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,13,2026-02-09T08:49:07Z,08:49,45,Neutral,0.84,0.67,0.94,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
3081,S001,Linda Ahmed,L8add99619,CS301 — GRP_A_CS301 (Week 13),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,13,2026-02-09T08:51:11Z,08:51,50,Neutral,0.85,0.73,0.88,Absent,FALSE,TRUE,15,mock_video,EduPulse_v1.0
3101,S001,Linda Ahmed,L8add99619,CS301 — GRP_A_CS301 (Week 13),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,13,2026-02-09T08:55:22Z,08:55,55,Happy,0.8,0.92,0.95,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
3121,S001,Linda Ahmed,L6668652b8,CS301 — GRP_A_CS301 (Week 14),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,14,2026-02-11T12:02:10Z,12:02,0,Neutral,0.88,0.67,0.85,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
3141,S001,Linda Ahmed,L6668652b8,CS301 — GRP_A_CS301 (Week 14),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,14,2026-02-11T12:09:10Z,12:09,5,Happy,0.87,0.89,0.74,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
3161,S001,Linda Ahmed,L6668652b8,CS301 — GRP_A_CS301 (Week 14),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,14,2026-02-11T12:14:08Z,12:14,10,Happy,0.79,0.91,0.84,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
3181,S001,Linda Ahmed,L6668652b8,CS301 — GRP_A_CS301 (Week 14),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,14,2026-02-11T12:15:29Z,12:15,15,Happy,0.95,0.87,0.85,Absent,FALSE,TRUE,10,mock_video,EduPulse_v1.0
3201,S001,Linda Ahmed,L6668652b8,CS301 — GRP_A_CS301 (Week 14),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,14,2026-02-11T12:24:41Z,12:24,20,Happy,0.88,1,0.77,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
3221,S001,Linda Ahmed,L6668652b8,CS301 — GRP_A_CS301 (Week 14),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,14,2026-02-11T12:27:41Z,12:27,25,Confused,0.83,0.41,0.79,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
3241,S001,Linda Ahmed,L6668652b8,CS301 — GRP_A_CS301 (Week 14),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,14,2026-02-11T12:32:45Z,12:32,30,Confused,0.96,0.42,0.84,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
3261,S001,Linda Ahmed,L6668652b8,CS301 — GRP_A_CS301 (Week 14),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,14,2026-02-11T12:37:48Z,12:37,35,Confused,0.82,0.47,0.74,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
3281,S001,Linda Ahmed,L6668652b8,CS301 — GRP_A_CS301 (Week 14),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,14,2026-02-11T12:43:26Z,12:43,40,Happy,0.87,0.99,0.75,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
3301,S001,Linda Ahmed,L6668652b8,CS301 — GRP_A_CS301 (Week 14),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,14,2026-02-11T12:47:28Z,12:47,45,Confused,0.77,0.45,0.88,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
3321,S001,Linda Ahmed,L6668652b8,CS301 — GRP_A_CS301 (Week 14),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,14,2026-02-11T12:53:31Z,12:53,50,Happy,0.88,0.92,0.81,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
3341,S001,Linda Ahmed,L6668652b8,CS301 — GRP_A_CS301 (Week 14),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,14,2026-02-11T12:59:59Z,12:59,55,Neutral,0.8,0.58,0.85,Absent,FALSE,TRUE,5,mock_video,EduPulse_v1.0
3841,S001,Linda Ahmed,Lc352ea6f6,CS302 — GRP_A_CS302 (Week 1),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,1,2026-02-16T08:01:40Z,08:01,0,Happy,0.88,0.92,0.68,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
3861,S001,Linda Ahmed,Lc352ea6f6,CS302 — GRP_A_CS302 (Week 1),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,1,2026-02-16T08:08:02Z,08:08,5,Neutral,0.93,0.67,0.88,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
3881,S001,Linda Ahmed,Lc352ea6f6,CS302 — GRP_A_CS302 (Week 1),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,1,2026-02-16T08:12:39Z,08:12,10,Neutral,0.75,0.57,0.95,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
3901,S001,Linda Ahmed,Lc352ea6f6,CS302 — GRP_A_CS302 (Week 1),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,1,2026-02-16T08:18:48Z,08:18,15,Happy,0.89,0.93,0.68,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
3921,S001,Linda Ahmed,Lc352ea6f6,CS302 — GRP_A_CS302 (Week 1),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,1,2026-02-16T08:24:30Z,08:24,20,Confused,0.79,0.41,0.66,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
3941,S001,Linda Ahmed,Lc352ea6f6,CS302 — GRP_A_CS302 (Week 1),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,1,2026-02-16T08:26:35Z,08:26,25,Confused,0.73,0.38,0.91,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
3961,S001,Linda Ahmed,Lc352ea6f6,CS302 — GRP_A_CS302 (Week 1),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,1,2026-02-16T08:34:29Z,08:34,30,Confused,0.8,0.34,0.85,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
3981,S001,Linda Ahmed,Lc352ea6f6,CS302 — GRP_A_CS302 (Week 1),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,1,2026-02-16T08:37:18Z,08:37,35,Confused,0.71,0.49,0.69,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
4001,S001,Linda Ahmed,Lc352ea6f6,CS302 — GRP_A_CS302 (Week 1),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,1,2026-02-16T08:42:27Z,08:42,40,Confused,0.71,0.46,0.89,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
4021,S001,Linda Ahmed,Lc352ea6f6,CS302 — GRP_A_CS302 (Week 1),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,1,2026-02-16T08:49:19Z,08:49,45,Neutral,0.8,0.54,0.69,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
4041,S001,Linda Ahmed,Lc352ea6f6,CS302 — GRP_A_CS302 (Week 1),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,1,2026-02-16T08:51:51Z,08:51,50,Neutral,0.84,0.68,0.75,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
4061,S001,Linda Ahmed,Lc352ea6f6,CS302 — GRP_A_CS302 (Week 1),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,1,2026-02-16T08:59:14Z,08:59,55,Happy,0.96,1,0.86,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
4081,S001,Linda Ahmed,L3dcd1e5d2,CS302 — GRP_A_CS302 (Week 2),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,2,2026-02-18T12:01:58Z,12:01,0,Confused,0.81,0.4,0.83,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
4101,S001,Linda Ahmed,L3dcd1e5d2,CS302 — GRP_A_CS302 (Week 2),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,2,2026-02-18T12:07:38Z,12:07,5,Happy,0.87,0.97,0.83,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
4121,S001,Linda Ahmed,L3dcd1e5d2,CS302 — GRP_A_CS302 (Week 2),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,2,2026-02-18T12:13:54Z,12:13,10,Happy,0.89,0.81,0.67,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
4141,S001,Linda Ahmed,L3dcd1e5d2,CS302 — GRP_A_CS302 (Week 2),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,2,2026-02-18T12:17:17Z,12:17,15,Happy,0.89,0.9,0.74,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
4161,S001,Linda Ahmed,L3dcd1e5d2,CS302 — GRP_A_CS302 (Week 2),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,2,2026-02-18T12:20:42Z,12:20,20,Confused,0.76,0.42,0.75,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
4181,S001,Linda Ahmed,L3dcd1e5d2,CS302 — GRP_A_CS302 (Week 2),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,2,2026-02-18T12:27:23Z,12:27,25,Confused,0.75,0.5,0.85,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
4201,S001,Linda Ahmed,L3dcd1e5d2,CS302 — GRP_A_CS302 (Week 2),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,2,2026-02-18T12:33:35Z,12:33,30,Confused,0.73,0.32,0.61,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
4221,S001,Linda Ahmed,L3dcd1e5d2,CS302 — GRP_A_CS302 (Week 2),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,2,2026-02-18T12:36:25Z,12:36,35,Confused,0.75,0.45,0.68,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
4241,S001,Linda Ahmed,L3dcd1e5d2,CS302 — GRP_A_CS302 (Week 2),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,2,2026-02-18T12:43:58Z,12:43,40,Confused,0.79,0.4,0.82,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
4261,S001,Linda Ahmed,L3dcd1e5d2,CS302 — GRP_A_CS302 (Week 2),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,2,2026-02-18T12:49:11Z,12:49,45,Happy,0.92,0.9,0.93,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
4281,S001,Linda Ahmed,L3dcd1e5d2,CS302 — GRP_A_CS302 (Week 2),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,2,2026-02-18T12:52:56Z,12:52,50,Happy,0.93,0.93,0.67,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
4301,S001,Linda Ahmed,L3dcd1e5d2,CS302 — GRP_A_CS302 (Week 2),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,2,2026-02-18T12:56:28Z,12:56,55,Neutral,0.84,0.62,0.68,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
6721,S001,Linda Ahmed,L6a39501e6,CS302 — GRP_A_CS302 (Week 13),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,13,2026-02-16T08:04:33Z,08:04,0,Bored,0.77,0.18,0.7,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
6741,S001,Linda Ahmed,L6a39501e6,CS302 — GRP_A_CS302 (Week 13),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,13,2026-02-16T08:07:22Z,08:07,5,Confused,0.85,0.33,0.72,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
6761,S001,Linda Ahmed,L6a39501e6,CS302 — GRP_A_CS302 (Week 13),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,13,2026-02-16T08:10:41Z,08:10,10,Confused,0.98,0.42,0.86,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
6781,S001,Linda Ahmed,L6a39501e6,CS302 — GRP_A_CS302 (Week 13),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,13,2026-02-16T08:19:04Z,08:19,15,Happy,0.82,0.95,0.68,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
6801,S001,Linda Ahmed,L6a39501e6,CS302 — GRP_A_CS302 (Week 13),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,13,2026-02-16T08:22:58Z,08:22,20,Confused,0.74,0.33,0.77,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
6821,S001,Linda Ahmed,L6a39501e6,CS302 — GRP_A_CS302 (Week 13),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,13,2026-02-16T08:29:38Z,08:29,25,Confused,0.83,0.46,0.63,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
6841,S001,Linda Ahmed,L6a39501e6,CS302 — GRP_A_CS302 (Week 13),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,13,2026-02-16T08:30:46Z,08:30,30,Confused,0.78,0.38,0.81,Absent,FALSE,TRUE,20,mock_video,EduPulse_v1.0
6861,S001,Linda Ahmed,L6a39501e6,CS302 — GRP_A_CS302 (Week 13),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,13,2026-02-16T08:39:55Z,08:39,35,Confused,0.76,0.42,0.66,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
6881,S001,Linda Ahmed,L6a39501e6,CS302 — GRP_A_CS302 (Week 13),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,13,2026-02-16T08:42:24Z,08:42,40,Confused,0.81,0.39,0.66,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
6901,S001,Linda Ahmed,L6a39501e6,CS302 — GRP_A_CS302 (Week 13),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,13,2026-02-16T08:48:22Z,08:48,45,Happy,0.86,1,0.73,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
6921,S001,Linda Ahmed,L6a39501e6,CS302 — GRP_A_CS302 (Week 13),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,13,2026-02-16T08:51:19Z,08:51,50,Neutral,0.98,0.68,0.86,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
6941,S001,Linda Ahmed,L6a39501e6,CS302 — GRP_A_CS302 (Week 13),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,13,2026-02-16T08:57:29Z,08:57,55,Neutral,0.86,0.59,0.61,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
6961,S001,Linda Ahmed,L01b28a9f1,CS302 — GRP_A_CS302 (Week 14),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,14,2026-02-18T12:00:24Z,12:00,0,Neutral,0.99,0.69,0.76,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
6981,S001,Linda Ahmed,L01b28a9f1,CS302 — GRP_A_CS302 (Week 14),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,14,2026-02-18T12:05:43Z,12:05,5,Neutral,0.86,0.67,0.68,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
7001,S001,Linda Ahmed,L01b28a9f1,CS302 — GRP_A_CS302 (Week 14),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,14,2026-02-18T12:12:22Z,12:12,10,Happy,0.76,0.93,0.65,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
7021,S001,Linda Ahmed,L01b28a9f1,CS302 — GRP_A_CS302 (Week 14),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,14,2026-02-18T12:18:10Z,12:18,15,Neutral,0.79,0.57,0.66,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
7041,S001,Linda Ahmed,L01b28a9f1,CS302 — GRP_A_CS302 (Week 14),L004,mina youssef,2,CS302,Data Science Fundamentals,3,Group A - CS302,14,2026-02-18T12:22:01Z,12:22,20,Confused,0.76,0.3,0.65,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
